DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/16 14:50,20950,20950,20930,20940,49000
09/16 14:45,20960,20970,20940,20950,47365
09/16 14:40,20960,20970,20950,20960,35023
09/16 14:35,20950,20970,20950,20960,42842
09/16 14:30,20950,20950,20940,20940,10661
09/16 14:25,20940,20950,20940,20940,9540
09/16 14:20,20940,20950,20930,20940,73303
09/16 14:15,20940,20950,20930,20950,37842
09/16 14:10,20950,20960,20930,20950,78795
09/16 14:05,20960,20960,20950,20950,41311
09/16 14:00,20970,20980,20960,20960,58009
09/16 13:55,20970,20980,20970,20980,1366
09/16 13:50,20970,20980,20970,20970,19550
